bookmark_count,conversation_id_str,created_at,display_name,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,like_count,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,views_count
3,1987684282312368386,Mon Nov 10 00:50:36 +0000 2025,,220,Dari program swasembada pangan pembangunan infrastruktur hingga stabilitas ekonomi nasional kiprah Soeharto masih dikenang sebagai warisan besar bangsa. #GelarPahlawanUntukSoeharto https://t.co/PSsgLqY0Fc,1987684282312368386,https://pbs.twimg.com/media/G5WsUfwbcAA__ZH.jpg,,in,220,,3,201,190,https://x.com/undefined/status/1987684282312368386,323937760,,7949
35,1985140342317068611,Mon Nov 03 00:21:54 +0000 2025,,127,40% alasan perceraian karena ekonomi. 25% nya karena selingkuh. Oleh karena ituuuuu.... Budgetting bulanan buat gue dan istri itu agenda wajib tiap alhir bulan. https://t.co/AoPF07frr4,1985140342317068611,https://pbs.twimg.com/amplify_video_thumb/1985140206333550592/img/3ygTkQ1-9rt2nKyH.jpg,,in,127,,0,1,22,https://x.com/undefined/status/1985140342317068611,2909591220,,4954
1,1988058653929422923,Tue Nov 11 01:38:14 +0000 2025,,14,#SobatRupiah pasti sudah tahu kan kalau Real Estate Perumahan Rakyat Konstruksi merupakan salah satu sektor prioritas dari Kebijakan Insentif Likuiditas Makroprudensial Bank Indonesia? Selain berkontribusi tinggi terhadap pertumbuhan ekonomi sektor ini juga bisa memperluas https://t.co/VLy1zXRjDD,1988058653929422923,https://pbs.twimg.com/amplify_video_thumb/1988058344129695744/img/xTwBayv2aPkRrZT8.jpg,,in,14,,1,3,2,https://x.com/undefined/status/1988058653929422923,153667051,,538
0,1987804924441235691,Mon Nov 10 08:50:00 +0000 2025,,439,di masa yang penuh ketidakpastian sosok yang menjadi PembawaStabilitas membimbing bangsa menuju pemulihan fondasi ekonomi kokoh tercipta dan kesejahteraan mulai dirasakan banyak sektor. https://t.co/Pbe7qL5349 https://t.co/xPzetyfUiT,1987804924441235691,https://pbs.twimg.com/media/G5YZcjPbMAAoChA.jpg,,in,439,,0,519,413,https://x.com/undefined/status/1987804924441235691,1303271928614891520,,3506
621,1985167937901404328,Mon Nov 03 02:11:33 +0000 2025,,1087,hi all! aku bikin rangkuman rumus-rumus penting ekonomi tka hope it helps yaa goodluck all https://t.co/UQ1WynH8fu,1985167937901404328,https://pbs.twimg.com/media/G4y7tw0a0AAP4Bh.jpg,,in,1087,,6,21,165,https://x.com/undefined/status/1985167937901404328,1933128600171286528,,39522
1605,1985332744390619234,Mon Nov 03 13:06:26 +0000 2025,,53085,ya Allah sedih bgt lagi belajar tp denger ortu ngomongin ekonomi . https://t.co/uzzD1d1eAY,1985332744390619234,https://pbs.twimg.com/media/G41RmtRbEAAfN_0.jpg,,in,53085,,986,533,3865,https://x.com/undefined/status/1985332744390619234,1799055681498365952,,1377783
10,1984190226194215181,Fri Oct 31 09:26:29 +0000 2025,,379,Maka Hitler bisa menjadi pahlawan Jerman krn ia sukses memantik api nasionalisme menegakkan disiplin nasional memulihkan stabilitas sosial politik keamanan dan ekonomi. Bahkan ia berhasil membuat jalan raya Autobahn lalu Auschwitz hilang dari ingatan. --------- Maksud https://t.co/5OodxMxEMp,1984190226194215181,https://pbs.twimg.com/media/G4lCfqPagAA2xUI.jpg,,in,379,,6,42,144,https://x.com/undefined/status/1984190226194215181,1159689173340585984,,7998
0,1987792836985798761,Mon Nov 10 08:01:58 +0000 2025,,92,Investasi emas tu emang gacor si bukan cuma invest buat ekonomi tapi emas juga bisa dijadiin investasi kulit loh‍↔️ https://t.co/Md39vfdIzZ,1987792836985798761,https://pbs.twimg.com/media/G5YPCnFbQAAzjpt.jpg,,in,92,,0,2,92,https://x.com/undefined/status/1987792836985798761,2951084080,,764
30,1987866127796723872,Mon Nov 10 12:53:12 +0000 2025,,213,Saksikan Kebijakan Ekonomi Soeharto: Yang Kaya Semakin Kaya di Youtube Watchdoc Image https://t.co/nNSSGdViLc Soeharto naik menggantikan Sukarno di tengah inflasi 600% krisis pangan dan ekonomi nyaris ambruk. Lalu lahirlah sekelompok ekonom yang disebut Mafia Berkeley. https://t.co/FFAzH5csmT,1987866127796723872,https://pbs.twimg.com/ext_tw_video_thumb/1987866077993607168/pu/img/TkzvwPLijUk519gq.jpg,,in,213,,3,7,112,https://x.com/undefined/status/1987866127796723872,2959310304,,6037
0,1988135124244808144,Tue Nov 11 06:42:06 +0000 2025,,4,Menteri Keuangan RI Purbaya Yudhi Sadewa mengunjungi SMA Negeri 3 Jakarta Senin (10/11/2025). Kedatangannya ini merupakan bagian dari partisipasinya pada dalam program Kemenkeu Mengajar 10. Tampak ia mengajar kelas ekonomi mengenai Anggaran Pendapatan dan Belanja Negara https://t.co/0VanOLbpBD,1988135124244808144,https://pbs.twimg.com/ext_tw_video_thumb/1988135043949023232/pu/img/Lt2NT7t1-AFuYvaU.jpg,,in,4,,0,0,2,https://x.com/undefined/status/1988135124244808144,46693036,,116
20,1987650075271757884,Sun Nov 09 22:34:41 +0000 2025,,359,Klo dilihat dari sisi pertumbuhan ekonomi era Soeharto era keemasan gak ada yang bisa ngalahin oleh presiden-presiden setelahnya. Tertinggi tahun1968 (10 92%) 1973 (8 1%) 1977 (8 3%) 1980 (10%) dan 1995 (8 2%) dan rata2 stabil di 6-7% per tahunnya https://t.co/dBuM80LzxY,1987650075271757884,https://pbs.twimg.com/amplify_video_thumb/1987487853362974720/img/rEXnjSrmzv3RMO20.jpg,,in,359,,12,37,129,https://x.com/undefined/status/1987650075271757884,1068371293290946561,,15844
426,1985574815512908170,Tue Nov 04 05:08:20 +0000 2025,,940,Review TKA Day-2 Ekonomi sosiologi dan geografi https://t.co/1hAs9Iau1a,1985574815512908170,https://pbs.twimg.com/media/G44tjpUbQAI1g8H.png,,in,940,,16,9,92,https://x.com/undefined/status/1985574815512908170,1982854987932905473,,29630
9,1984246302159589725,Fri Oct 31 13:09:18 +0000 2025,,727,Dalam rangkaian kegiatan Konferensi Tingkat Tinggi (KTT) Asia Pacific Economic Cooperation (APEC) 2025) saya mengikuti APEC Economic Leaders Meeting (AELM) yang berfokus pada penguatan kerja sama ekonomi di kawasan. Dalam sambutan saya menegaskan bahwa dunia membutuhkan https://t.co/bxAIep7F7f,1984246302159589725,https://pbs.twimg.com/media/G4l1fifbkAAAGV5.jpg,,in,727,,4,130,153,https://x.com/undefined/status/1984246302159589725,40580714,,34070
2,1987684128364605463,Mon Nov 10 00:50:00 +0000 2025,,69,banyak peninggalan pembangunan dari soeharto yang masih bermanfaat sampai sekarang dari infrastruktur sampai ekonomi kerakyatan yang kuat banget terasa manfaatnya. #GelarPahlawanUntukSoeharto https://t.co/AOmg3UXVaL,1987684128364605463,https://pbs.twimg.com/media/G5WkfXKa4AAD2KI.jpg,,in,69,,0,70,62,https://x.com/undefined/status/1987684128364605463,2951689349,,2401
19,1986157968451379708,Wed Nov 05 19:45:35 +0000 2025,,372,Ini alasan mengapa selama ini saya hanya 1x berkomentar perihal fenomenal Purbaya yaitu pada saat Purbaya berkata (+/-) bhw Rocky Gerung mesti meminta maaf jika Purbaya sdh menaikkan pertumbuhan ekonomi menjadi 8%! Mengapa saya memilih untuk tidak berkomentar banyak? Karena https://t.co/Z8SqpyLSWb,1986157968451379708,https://pbs.twimg.com/media/G5BAJQvbkAAtMav.jpg,,in,372,,5,61,173,https://x.com/undefined/status/1986157968451379708,1464448807429623817,,10812
9,1987102639319142852,Sat Nov 08 10:19:22 +0000 2025,,35,PMX Perlu Campur Tangan Segera Demi Keadilan Ekonomi Bumiputera Gabungan ini menyentuh soal hak dan masa depan ekonomi Bumiputera yang semakin terhimpit antara kuasa korporat besar dan dasar pasaran yang berat sebelah. https://t.co/1X7NGPYp4t,1987102639319142852,https://pbs.twimg.com/media/G5ObT_NbIAA52m-.jpg,,in,35,,1,5,54,https://x.com/undefined/status/1987102639319142852,627377124,,14782
1,1987844501487157285,Mon Nov 10 11:27:16 +0000 2025,,13,mw joki tugas akuntansi ekonomi plis joki yg bener emg jurusan nya ga! soal ujian ini lgsg drop fee (klo bisa yg bersahabat) #zonauang #jokitugas #akuntansi https://t.co/sf30dtKuPd,1987844501487157285,https://pbs.twimg.com/media/G5Y-CFMaYAAUgC_.jpg,,in,13,,1,56,1,https://x.com/undefined/status/1987844501487157285,1629691002155077632,,1675
0,1987792389029933287,Mon Nov 10 08:00:11 +0000 2025,,45,Soeharto adalah Putra Terbaik Bangsa yang mempunyai jasa besar dalam sejarah perjuangan pembangunan serta pemulihan ekonomi bangsa Indonesia sehingga layak mendapatkan penghargaan tertinggi dari negara. https://t.co/NtMghJhU5J,1987792389029933287,https://pbs.twimg.com/media/G5YOpIzaMAAtnnT.jpg,,in,45,,0,52,50,https://x.com/undefined/status/1987792389029933287,89384282,,713
242,1984540738529738910,Sat Nov 01 08:39:17 +0000 2025,,415,Dalam suatu Siklus ekonomi Ada Perubahan Sektor. Kita sudah dimana yah kira kira ? https://t.co/RTc0t296Rz,1984540738529738910,https://pbs.twimg.com/media/G4qBSIKasAAOFJm.jpg,,in,415,,3,6,68,https://x.com/undefined/status/1984540738529738910,1034308064,,17902
7,1987735159123124263,Mon Nov 10 04:12:46 +0000 2025,,99,M'siakini melaporkan bahawa rombakan kabinet bakal dilakukan tidak lama lagi setelah Presiden UPKO Ewon Benedick meletak jawatan Dakwa ada spekulasi untuk menaikkan MB S'gor Amirudin menggantikan Zafrul manakala jawatan MB digantikan oleh ADUN Seri Setia Fahmi Ngah https://t.co/PAqgjq1tvz,1987735159123124263,https://pbs.twimg.com/media/G5XamARXEAA1kV-.jpg,,in,99,,13,5,42,https://x.com/undefined/status/1987735159123124263,1213807317419880450,,84516
0,1987832677148565506,Mon Nov 10 10:40:17 +0000 2025,,12,Siapa yang menunggu kabar terbaru dari Pak Menkeu? ‍️ Ini dia #KemenkeuSepekan edisi 2-9 November 2025. IdeaFest 2025 Konferensi pers KSSK triwulan IV tahun 2025 Wisuda @pknstanid Kabar pertumbuhan ekonomi terkini Selengkapnya https://t.co/RHzc4o5lT3,1987832677148565506,https://pbs.twimg.com/amplify_video_thumb/1987832536991776768/img/U02KRwRvUuCcQ-GR.jpg,,in,12,,3,1,7,https://x.com/undefined/status/1987832677148565506,600673907,,996
18,1987890466403266709,Mon Nov 10 14:29:55 +0000 2025,,174,Redenominasi: Strategi politik-ekonomi untuk membersihkan peredaran uang gelap di Indonesia memaksa para Koruptor Oknum Pejabat/aparat dan pengusaha nakal yang suka Nimbung uang di ruangan Rahasia keluar dari persembunyianya. https://t.co/giXCbxXnnI,1987890466403266709,https://pbs.twimg.com/ext_tw_video_thumb/1987890373088391168/pu/img/0TeoHe8TNpXwDHVk.jpg,,in,174,,4,14,64,https://x.com/undefined/status/1987890466403266709,1251824880967774208,,5874
