tweet_id,user_screen_name,created_at,text,like_count,retweet_count,reply_count,quote_count,view_count
1987747017347444784,SoeTjenMarching,Mon Nov 10 04:59:54 +0000 2025,"Dari semula, saya menduga kalau Prabowo jadi Presiden, dia akan berusaha sekuat tenaga spy Soeharto bisa jadi pahlawan. Tapi masih saja banyak yg memilih Prabowo. Kebutaan sejarah &amp; politik di Indonesia masih membuat banyak rakyat tertipu.   Hari ini, kekhawatiran saya terbukti. https://t.co/nmmSTBlgMW",990,546,20,15,
1986754634179084524,BocorAlusPol,Fri Nov 07 11:16:31 +0000 2025,"Biro Buzzer di Kementerian Pertanian  Kementerian Pertanian mengerahkan birokrat, mahasiswa, dan pelajar untuk menyerang Tempo. Menggaungkan citra positif Menteri Pertanian Amran Sulaiman. https://t.co/8KgbGbrdfn",3449,1617,170,109,
1987727735427633640,tilehopper,Mon Nov 10 03:43:16 +0000 2025,UDAH DIBILANGIN.   Emang negara ini ga siap buat hadapin terorisme politik sayap kanan ekstrim. https://t.co/o5Jc4rpPVK,685,225,11,4,
1987705288586379458,islah_bahrawi,Mon Nov 10 02:14:05 +0000 2025,"Negara ini terlalu sibuk untuk memberi tanda jasa kepada koruptor dan komprador. Sibuk memodifikasi statistik dan kepuasan publik. Rajin menjilat agar jabatan tetap mengkilat, dan menggarong hak rakyat untuk amunisi politik.  Jahanam kalian semua!!  https://t.co/ODiNt0UR5a https://t.co/DZ9G85ehN4",906,329,103,22,
1987712237725798745,fishitfess,Mon Nov 10 02:41:42 +0000 2025,"dari fish it aku belajar. jika manusia akan seperti pemerintah indonesia jika sedang diatas.  streamer or pejabat akan dikasih kemewahan, sedangkan rakyat jelata diminta bayar pajak/robux dengan fasilitas ikan teri.  sekian TALON, KAMI PAMIT. terimakasih sudah menemani fish! https://t.co/mD57EJiTWS",795,131,38,35,
1987755894973849725,catchmeupco,Mon Nov 10 05:35:10 +0000 2025,"Lubang bekas galian tambang itu bahaya banget karena selain merusak lingkungan, juga udah terbukti memakan korban. Terus, pemerintah ngapain aja? https://t.co/PtM47Boz1Y",310,117,6,0,
1985233231424393319,kementan,Mon Nov 03 06:31:00 +0000 2025,"Kerugian petani tembus hingga Rp600 miliar setahun, semua gara-gara kios nakal yang jual pupuk di atas harga resmi. Ada 2.039 kios dari total 27.319 kios, ketahuan main harga dan pemerintah langsung cabut izinnya! https://t.co/fnBdPAe0Rr",92,23,50,0,
1985693926091866312,MariaAlkaff_,Tue Nov 04 13:01:39 +0000 2025,"Kalau beginian dijual bebas, Pertanol (Pertamina Etanol) bisa keringetan ..   CC Bahenol (Bahlil Etanol) @bahlillahadalia  @pertamina  —-  Btw, pemerintah harusnya mendorong dan mensupport prestasi anak bangsa.  Ini penemuan yang justru bisa menguntungkan negara kita juga. https://t.co/5tkkMQgbM1",19,3,4,0,
1986409762712424894,tanyakanrl,Thu Nov 06 12:26:07 +0000 2025,"💚 tbh magang yg digaji pemerintah ini oke bgt buat fg yg masih minim pengalaman kek sender 🥹 bismillah doain sender keterima yaak katanya doa 40 orang bisa dikabulin, udah cape bgt ditolak sana sini 😭 https://t.co/TuZWrstk47",1513,114,72,20,
1987763727282864638,lantip,Mon Nov 10 06:06:18 +0000 2025,"di buku biografinya, soeharto mengakui bahwa dia yang memerintahkan petrus.  bbrp tahun lalu, presiden jokowi atas nama pemerintah indonesia meminta maaf atas pelanggaran ham berat, termasuk petrus.  pahlawan dan pelanggaran ham berat.   https://t.co/XrhwOZvs1n https://t.co/IZ30kAwHMu",367,267,4,3,
1984637142321283186,LBH_Jakarta,Sat Nov 01 15:02:22 +0000 2025,"Banjir dan Macet Jakarta: Gejala Ketidakbecusan Pemerintah DKI Jakarta dalam Menata Kota!  Setiap kali hujan, Jakarta sering kali dilanda dua hal: banjir dan macet. Di penghujung Oktober 2025, kedua hal ini menjadi semakin parah.   Ada apa dengan Jakarta? https://t.co/TvIgTamw8z",6,4,2,0,
1985557618891399292,tempodotco,Tue Nov 04 04:00:00 +0000 2025,"Puluhan ribu koperasi merah putih belum beroperasi. Pemerintah memberikan paket fasilitas, dari gerai, gudang, kendaraan, hingga permodalan.  #Tempo #KoperasiMerahPutuih #Program #Prioritas #PrabowoSubianto https://t.co/KMQE6y6UhV",87,38,18,2,
1987021929665208775,alineadotid,Sat Nov 08 04:58:39 +0000 2025,"Pemerintah tengah mempertimbangkan pemberian subsidi listrik pd Desember 2025 untuk menjaga stabilitas harga menjelang libur Natal dan Tahun Baru. Mendagri Tito Karnavian mnympaikan hal ini dalam keterangannya di Jakarta Selasa, 4 November 2025. #nataru2025 #kemendagri #yukgass https://t.co/1rUhgMmMTb",321,112,25,0,
1987817696071946518,salam4jari,Mon Nov 10 09:40:45 +0000 2025,Indonesia layak masuk Guinness World Records sebagai negara yang menetapkan pelanggar HAM dan koruptor sebagai pahlawan nasional. https://t.co/5jIu60dkoZ,396,168,49,2,
1987759026315407453,neohistoria_id,Mon Nov 10 05:47:37 +0000 2025,Marsinah pantas menjadi pahlawan tetapi negara hari ini menghinanya dengan mengangkat pemimpin rezim yang membunuhnya juga sebagai pahlawan. Seakan menyatakan bahwa keadilan terhadap Marsinah tidak perlu diperjuangkan lagi karena pembunuhnya sendiri juga adalah seorang pahlawan.,7669,3081,29,14,
1984533445100605571,susno2g,Sat Nov 01 08:10:18 +0000 2025,"Kalau Menkeu Purbaya yg di-resufle ; beraeti negara kalah dng tekanan kelompok hitam dan koruptor,, https://t.co/6y8x7twAlJ",1718,841,296,54,
1985941350983074107,catchmeupco,Wed Nov 05 05:24:49 +0000 2025,Nyamuk-nyamuk yang biasanya hidup di negara tropis sekarang ditemukan hidup di negara yang suhunya lebih dingin. It’s getting real Bumi makin panas sih... https://t.co/7xVAuCGFvt,469,113,4,9,
