"bookmark_count","conversation_id_str","created_at","display_name","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","like_count","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username","views_count"
"474","1984135792642371960","Fri Oct 31 05:50:11 +0000 2025",,"14236","gaji pertamaku setelah hampir 2 tahun nganggur. akhirnya bisa bantu keuangan keluarga https://t.co/EMNArS7A7b","1984135792642371960","https://pbs.twimg.com/media/G4kQ_Q3XIAAuyey.jpg","","in","14236","","137","1030","430","https://x.com/undefined/status/1984135792642371960","1371650588",,"341843"
"1","1986304286532227576","Thu Nov 06 05:27:00 +0000 2025",,"16","Purbaya Minta Maaf ke Kepala Daerah KDM: Nggak Perlu Ada yang Dimaafin Bayar Saja Dana Rp 190 M Gubernur Jawa Barat Dedi Mulyadi merespons permohonan maaf dari Menteri Keuangan Purbaya Yudhi Sadewa soal pemangkasan anggaran. Merespons hal itu KDM mengaku tak perlu ada https://t.co/vHFgl8cd6x","1986304286532227576","https://pbs.twimg.com/amplify_video_thumb/1986293390229839875/img/jR5qEercEND9snqX.jpg","","in","16","","0","2","2","https://x.com/undefined/status/1986304286532227576","124171593",,"6001"
"5","1984020793945416027","Thu Oct 30 22:13:13 +0000 2025",,"161","KENAPA BUMN TERLILIT HUTANG PLN merupakan BUMN yang memiliki hutang terbesar hingga 734 Triliun Rupiah pada bulan Juni 2025 lalu. 300 Trilyun di antaranya hutang PLN dari luar negeri. Di negara kita berdasar ketentuan UU Keuangan untuk hutang BUMN tidak perlu lewat persetujuan https://t.co/Res4lDK8Z5","1984020793945416027","https://pbs.twimg.com/media/G4ioZJaa8AQdTfs.jpg","","in","161","","5","32","71","https://x.com/undefined/status/1984020793945416027","201554665",,"6821"
"0","1988135648520179978","Tue Nov 11 06:44:11 +0000 2025",,"5","Bangun generasi muda yang cerdas finansial dan siap menghadapi tantangan global! UNAIR berkesempatan menghadirkan Menteri Keuangan RI Purbaya Yudhi Sadewa dalam Studium Generale Dies Natalis ke-71. Dari kebijakan nasional hingga peran UMKM semua dibahas dalam suasana https://t.co/dNe5bAdxyd","1988135648520179978","https://pbs.twimg.com/media/G5dG1JqbgAAdUaF.jpg","","in","5","","0","0","0","https://x.com/undefined/status/1988135648520179978","1110709339",,"122"
"0","1986276505186672650","Thu Nov 06 03:36:36 +0000 2025",,"9","PEMBUATAN LAPORAN KEUANGAN 2 TAHUN + LAPOR SPT TAHUNAN BADAN USAHA 2 TAHUN https://t.co/pdHIXaq0ZG","1986276505186672650","https://pbs.twimg.com/media/G5Cr8_0acAAgmHT.jpg","","in","9","","2","0","6","https://x.com/undefined/status/1986276505186672650","826900245531357184",,"1627"
"45","1987355304582127683","Sun Nov 09 03:03:22 +0000 2025",,"302","Menteri Keuangan Purbaya Yudhi Sadewa tengah menyusun kajian potensi barang kena cukai baru mulai dari diapers atau popok alat makan dan minum sekali pakai hingga tisu basah. Kajian ini tercantum dalam PMK Nomor 70 Tahun 2025 tentang Rencana Strategis Kementerian Keuangan https://t.co/OMSce9HbaV","1987355304582127683","https://pbs.twimg.com/media/G5SBHJ-bQAALIUl.jpg","","in","302","","223","114","95","https://x.com/undefined/status/1987355304582127683","759692754985242625",,"196694"
"2","1984798904395743640","Sun Nov 02 01:45:09 +0000 2025",,"99","Menteri Keuangan Purbaya Yudhi Sadewa kembali menarik perhatian para pengguna media sosial. Bukan gaya koboi yang disorot kini Purbaya viral karena tertangkap kamera sedang mengaji melantunkan ayat suci Al-Quran. #menkeupurbaya #mengaji #internike #lip6an https://t.co/1kcWnQQpUy","1984798904395743640","https://pbs.twimg.com/ext_tw_video_thumb/1984798763483815936/pu/img/6sXPJMemuz3JFhxZ.jpg","","in","99","","3","8","23","https://x.com/undefined/status/1984798904395743640","47596019",,"7877"
"0","1988137045672468845","Tue Nov 11 06:49:44 +0000 2025",,"3","Sobat pernah nggak sih merasa usahamu punya potensi besar tapi susah dapat pinjaman dari bank karena dianggap belum cukup bankable ? Nah di sinilah Lembaga Penjaminan berperan menjadi jembatan antara Sobat dan lembaga keuangan agar akses pembiayaan jadi lebih mudah. (1/2) https://t.co/eEHwxPvRtd","1988137045672468845","https://pbs.twimg.com/media/G5dIGXybcAMHxx7.jpg","","in","3","","0","1","0","https://x.com/undefined/status/1988137045672468845","2179218738",,"31"
"142","1984261413343268929","Fri Oct 31 14:09:21 +0000 2025",,"287","Kog bisa sebuah perusahaan Laba (Net Income) nya tinggi tapi saldo Kas di bank-nya tipis!? Gimana sih cara bangun Financial Model kog Neraca nya nggak balance terus! Laporan Laba Rugi Posisi Keuangan (Neraca) dan Arus Kas bukanlah tiga laporan berdiri sendiri-sendiri! https://t.co/z7kUrrgBSM","1984261413343268929","https://pbs.twimg.com/media/G4mC0xsXUAExqSf.jpg","","in","287","","3","1","54","https://x.com/undefined/status/1984261413343268929","134421856",,"17267"
"0","1988140665109418177","Tue Nov 11 07:04:07 +0000 2025",,"2","Kementerian Keuangan RI bersama Komisaris Pertamina meninjau langsung kesiapan akhir proyek RDMP Balikpapan. Kunjungan ini menandai langkah penting menuju start-up kilang terbesar di Indonesia yang akan memperkuat kemandirian energi nasional.","1988140665109418177","","","in","2","","0","1","1","https://x.com/undefined/status/1988140665109418177","1746036290871861248",,"9"
"29","1986009497589211262","Wed Nov 05 09:55:37 +0000 2025",,"1733","Presiden Prabowo jng asal omong masalah Whoosh dia yg tjwb hrs pikirkan dampak hukum dan dampak keuangan nya https://t.co/dYspYut6lH","1986009497589211262","https://pbs.twimg.com/media/G4-5Gs7bYAAGhG9.jpg","","in","1733","","45","352","682","https://x.com/undefined/status/1986009497589211262","131814756",,"40929"
"15","1986648418266255559","Fri Nov 07 04:14:27 +0000 2025",,"165","Direktorat Jenderal Pajak (DJP) Kementerian Keuangan menemukan ratusan eksportir sawit diduga melakukan kecurangan pajak dengan memanipulasi data ekspor. Barang bernilai tinggi dilaporkan seolah-olah sebagai Palm Oil Mill Effluent (POME) atau fatty matter agar terkena pajak lebih https://t.co/4z74HatY1S","1986648418266255559","https://pbs.twimg.com/media/G5H-KsXbIAMbXsV.jpg","","in","165","","11","21","92","https://x.com/undefined/status/1986648418266255559","759692754985242625",,"19828"
"889","1987128616816455784","Sat Nov 08 12:02:35 +0000 2025",,"2629","Ada 3 pelajaran tentang keuangan di umur 30an. ️ jangan ambil KPR ️ gausah kredit mobil Sekali masuk lingkar setan 2 utang itu beresinnya hampir setengah umur idup. Ada yang mau nambahin?","1987128616816455784","","","in","2629","","71","90","739","https://x.com/undefined/status/1987128616816455784","1590845630037229569",,"221380"
"1","1985216905750499553","Mon Nov 03 05:26:08 +0000 2025",,"4","Governansi Insight Forum Bersama OJK Membangun Sektor Jasa Keuangan Berintegritas Sobat OJK Dalam semangat membangun sektor jasa keuangan yang sehat transparan dan berintegritas OJK mengundang seluruh pemangku kepentingan untuk hadir pada Governansi Insight Forum bersama https://t.co/qgrya0rw7s","1985216905750499553","https://pbs.twimg.com/media/G4zoP6maoAA679T.jpg","","in","4","","0","0","1","https://x.com/undefined/status/1985216905750499553","1869673304",,"550"
"1","1984562144982286683","Sat Nov 01 10:04:21 +0000 2025",,"46","Baru sebulan jadi Menteri Keuangan (Menkeu) Purbaya tampak ikonik di mana ia terus disorot usai getol memperbaiki sistem keuangan. https://t.co/ZjNVKqDTbx","1984562144982286683","https://pbs.twimg.com/media/G4qUvw-bkAAg7NT.jpg","","in","46","","0","2","2","https://x.com/undefined/status/1984562144982286683","1673276769355575296",,"2609"
"12","1986252196883939609","Thu Nov 06 02:00:01 +0000 2025",,"245","Menteri Keuangan Purbaya Yudhi Sadewa akan melakukan penyelidikan terkait penyaluran KUR setelah mendapatkan laporan peminjaman di bawah Rp100 juta tetap diminta agunan oleh bank. Penyaluran KUR yang dipersulit dianggap tidak bertanggung jawab dan merugikan negara. Purbaya https://t.co/SIBwKa0mxH","1986252196883939609","https://pbs.twimg.com/media/G5BdrSKbIAEjtR8.jpg","","in","245","","7","49","85","https://x.com/undefined/status/1986252196883939609","55507370",,"14154"
"0","1988135124244808144","Tue Nov 11 06:42:06 +0000 2025",,"4","Menteri Keuangan RI Purbaya Yudhi Sadewa mengunjungi SMA Negeri 3 Jakarta Senin (10/11/2025). Kedatangannya ini merupakan bagian dari partisipasinya pada dalam program Kemenkeu Mengajar 10. Tampak ia mengajar kelas ekonomi mengenai Anggaran Pendapatan dan Belanja Negara https://t.co/0VanOLbpBD","1988135124244808144","https://pbs.twimg.com/ext_tw_video_thumb/1988135043949023232/pu/img/Lt2NT7t1-AFuYvaU.jpg","","in","4","","0","0","2","https://x.com/undefined/status/1988135124244808144","46693036",,"126"
"0","1986063147061686393","Wed Nov 05 13:28:48 +0000 2025",,"4","OJK Perkuat Literasi dan Inklusi Keuangan Syariah Generasi Muda Melalui ISFO 2025 OJK terus mendorong generasi muda menjadi penggerak ekonomi syariah melalui ajang Indonesia Sharia Financial Olympiad (ISFO) 2025. Dengan semangat inovasi dan integritas tinggi para talenta muda https://t.co/CECn7knjnu","1986063147061686393","https://pbs.twimg.com/amplify_video_thumb/1986063028924878848/img/CCQLMh8Mqpc4FWp-.jpg","","in","4","","1","1","0","https://x.com/undefined/status/1986063147061686393","1869673304",,"463"
"0","1984791227192263010","Sun Nov 02 01:14:38 +0000 2025",,"3","Pertemuan Tahunan Perbankan Syariah 2025 Sobat OJK Pertemuan Tahunan Perbankan Syariah 2025 kembali digelar sebagai forum strategis penguatan industri keuangan syariah di Indonesia. Dengan tema Aktualisasi Penguatan Perbankan Syariah dalam Mendukung Ekosistem Halal https://t.co/ARzUDLWXUH","1984791227192263010","https://pbs.twimg.com/media/G4tlGRbbQAEEe3f.jpg","","in","3","","0","1","1","https://x.com/undefined/status/1984791227192263010","1869673304",,"705"
"0","1988054014173573493","Tue Nov 11 01:19:47 +0000 2025",,"2","Reformasi Polri Memulai Langkah Besar Yang Terkunci Agar Memperkuat Akuntabilitas Serta Pemulihkan Kepercayaan Publik https://t.co/Y0t93HDqRx lewat @Keuangan News https://t.co/nV1pkn5lWD","1988054014173573493","https://pbs.twimg.com/media/G5b8lzDbcAEAD60.jpg","","in","2","","0","0","2","https://x.com/undefined/status/1988054014173573493","1226436091617505281",,"197"
"26","1987380922417836475","Sun Nov 09 04:45:10 +0000 2025",,"553","Paspor Malaysia kini berada di peringkat ketiga dunia naik tujuh posisi dari tahun sebelumnya berdasarkan Passport Index 2025 yang diterbitkan oleh firma keuangan global Arton Capital. Peringkat baru ini menempatkan Malaysia sejajar dengan 15 negara lain seperti Belgia https://t.co/u9MUlvrjR4","1987380922417836475","https://pbs.twimg.com/media/G5SYQfXbIAAECm1.jpg","","in","553","","47","59","129","https://x.com/undefined/status/1987380922417836475","23343960",,"57987"
"0","1987772294593475013","Mon Nov 10 06:40:20 +0000 2025",,"6","Menkeu Purbaya Optimis Penerimaan Pajak 2025 Capai Target Meski Ekonomi Melemah https://t.co/WQMqMwyYQ7 lewat @Keuangan News https://t.co/CJGp5JWqqr","1987772294593475013","https://pbs.twimg.com/media/G5X8Xf3aMAAXgyh.jpg","","in","6","","0","1","3","https://x.com/undefined/status/1987772294593475013","1226436091617505281",,"451"
"0","1987839771448926598","Mon Nov 10 11:08:28 +0000 2025",,"2","Pemerintah Akan Mewajibkan Kandungan Etanol 10 Persen (E10) Aman Untuk Kendaraan di Atas Tahun 2000 https://t.co/8Gb5QKPaIS lewat @Keuangan News https://t.co/rzwG2wSXMp","1987839771448926598","https://pbs.twimg.com/media/G5Y5vNzbwAAIREA.jpg","","in","2","","0","2","1","https://x.com/undefined/status/1987839771448926598","1226436091617505281",,"296"
"0","1988053628352164297","Tue Nov 11 01:18:15 +0000 2025",,"3","Indonesia dan Singapura Perkuat Kolaborasi di Bidang Fintech dan Aset Keuangan Digital https://t.co/Ogw2ZUaf2C lewat @Keuangan News https://t.co/cJa2awXwbk","1988053628352164297","https://pbs.twimg.com/media/G5b8PVwbcAEnItm.jpg","","in","3","","0","0","0","https://x.com/undefined/status/1988053628352164297","1226436091617505281",,"162"
"0","1988029756856824246","Mon Nov 10 23:43:24 +0000 2025",,"1","Bertaubat Hukumnya Wajib Dari Segala Macam Dosa Tiga Syarat Untuk Bertaubat https://t.co/BR6mEpsDaI lewat @Keuangan News https://t.co/NIMLLJ7Os4","1988029756856824246","https://pbs.twimg.com/media/G5bmh2bbcAQLkb_.jpg","","in","1","","0","1","0","https://x.com/undefined/status/1988029756856824246","1226436091617505281",,"246"
"21","1986691827177824728","Fri Nov 07 07:06:57 +0000 2025",,"157","ChatGPT udah ngga bisa kasih saran hukum kesehatan dan keuangan https://t.co/sShprY2Scs","1986691827177824728","https://pbs.twimg.com/media/G5IlV7mawAAGBkD.jpg","","in","157","","7","12","23","https://x.com/undefined/status/1986691827177824728","1329295844869214208",,"23285"
"0","1988053555656397082","Tue Nov 11 01:17:58 +0000 2025",,"5","Pengamat Muslim Arbi Sebut KPK Harus Segera Tetapkan Proyek Whoosh https://t.co/90lEgVNQQN lewat @Keuangan News https://t.co/bWZMe65qfK","1988053555656397082","https://pbs.twimg.com/media/G5b8LHEbUAATgw9.jpg","","in","5","","1","0","5","https://x.com/undefined/status/1988053555656397082","1226436091617505281",,"285"
"0","1988142455909478654","Tue Nov 11 07:11:14 +0000 2025",,"0","AI Bigbox Bantu Fintech Verifikasi Identitas Pelanggan dengan eKYC yang Andal https://t.co/eZuIwh20G4 lewat @Keuangan News https://t.co/nErZ7V9TBx","1988142455909478654","https://pbs.twimg.com/media/G5dNBxObcDMu8nK.jpg","","in","0","","0","0","0","https://x.com/undefined/status/1988142455909478654","1226436091617505281",,"27"
"0","1988115793125798128","Tue Nov 11 05:25:17 +0000 2025",,"7","Menteri Keuangan Purbaya Yudhi Sadewa tengah mengkaji penarikan cukai dari popok hingga tisu basah. Rencana itu tertuang dalam Peraturan Menteri Keuangan (PMK) Nomor 70 Tahun 2025 tentang Rencana Strategis Kementerian Keuangan Tahun 2025-2029. Alasan kajian dilakukan untuk https://t.co/hlsCxNvY31","1988115793125798128","https://pbs.twimg.com/media/G5c0xURawAAQdNo.jpg","","in","7","","0","3","3","https://x.com/undefined/status/1988115793125798128","55507370",,"1696"
"0","1987887379223552266","Mon Nov 10 14:17:39 +0000 2025",,"2","udh cocok blm jd mentri keuangan https://t.co/TOOKXQ9V8F","1987887379223552266","https://pbs.twimg.com/media/G5ZlB0KbMAANCZU.jpg","","in","2","","0","1","0","https://x.com/undefined/status/1987887379223552266","1827557548230373376",,"88"
"1","1988123882646393137","Tue Nov 11 05:57:25 +0000 2025",,"48","𝗗𝗘𝗠𝗜 𝗖𝗨𝗔𝗡 𝗜𝗡𝗦𝗧𝗔𝗡 Kejari Kutim menetapkan J Kaur Keuangan Desa Bumi Etam Kutai Timur sebagai tersangka korupsi APBDes 2024 Dana publik yg seharusnya utk pembangunan desa malah dibakar di aplikasi pengganda uang Mau cepat kaya ujungnya malah cepat masuk bui https://t.co/uQtY7awH62","1988123882646393137","https://pbs.twimg.com/ext_tw_video_thumb/1988123855848906753/pu/img/9v_j0qLmslgHBfiM.jpg","","in","48","","0","27","37","https://x.com/undefined/status/1988123882646393137","1104398813844758528",,"3558"
"0","1988033934383370432","Tue Nov 11 00:00:00 +0000 2025",,"16","Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa menegaskan kebijakan redenominasi rupiah merupakan kewenangan Bank Indonesia (BI) bukan Kementerian Keuangan. Pelaksanaan redenominasi tidak akan dilakukan dalam waktu dekat setidaknya bukan tahun ini atau 2026. Redenom itu https://t.co/1NA6Bwaib0","1988033934383370432","https://pbs.twimg.com/media/G5bPZ8MbcAEyFBD.jpg","","in","16","","2","3","4","https://x.com/undefined/status/1988033934383370432","55507370",,"2110"
"0","1988029883738636555","Mon Nov 10 23:43:54 +0000 2025",,"0","Askrindo Tegaskan Komitmen dalam Mendukung Program KUR https://t.co/l8FW5YXA0i lewat @Keuangan News https://t.co/R5vJJB1F3O","1988029883738636555","https://pbs.twimg.com/media/G5bmpMoaIAAzSYK.jpg","","in","0","","0","1","0","https://x.com/undefined/status/1988029883738636555","1226436091617505281",,"218"
"0","1987846009091997980","Mon Nov 10 11:33:15 +0000 2025",,"2","Bawa Efek Positif Pembiayaan KUR BRI Terbukti Dorong Kenaikan Omzet UMKM hingga Double Digit https://t.co/OO64k6ccFU lewat @Keuangan News https://t.co/ptO0JJdnWc","1987846009091997980","https://pbs.twimg.com/media/G5Y_aQNagAA-a8N.jpg","","in","2","","0","1","1","https://x.com/undefined/status/1987846009091997980","1226436091617505281",,"288"
