"bookmark_count","conversation_id_str","created_at","display_name","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","like_count","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username","views_count"
"472","1984135792642371960","Fri Oct 31 05:50:11 +0000 2025",,"14239","gaji pertamaku setelah hampir 2 tahun nganggur. akhirnya bisa bantu keuangan keluarga https://t.co/EMNArS7A7b","1984135792642371960","https://pbs.twimg.com/media/G4kQ_Q3XIAAuyey.jpg","","in","14239","","137","1030","430","https://x.com/undefined/status/1984135792642371960","1371650588",,"341855"
"0","1988156309808836627","Tue Nov 11 08:06:17 +0000 2025",,"0","KPK Ungkap Modus Dugaan Korupsi Pengadaan Pembebasan Lahan Proyek Kereta Cepat di Markup Hingga Penjualan Tanah https://t.co/zF4rE84peX lewat @Keuangan News https://t.co/4maZFMg3EA","1988156309808836627","https://pbs.twimg.com/media/G5dZoJ7bcAAvXy6.jpg","","in","0","","0","0","0","https://x.com/undefined/status/1988156309808836627","1226436091617505281",,"3"
"64","1987355304582127683","Sun Nov 09 03:03:22 +0000 2025",,"344","Menteri Keuangan Purbaya Yudhi Sadewa tengah menyusun kajian potensi barang kena cukai baru mulai dari diapers atau popok alat makan dan minum sekali pakai hingga tisu basah. Kajian ini tercantum dalam PMK Nomor 70 Tahun 2025 tentang Rencana Strategis Kementerian Keuangan https://t.co/OMSce9HbaV","1987355304582127683","https://pbs.twimg.com/media/G5SBHJ-bQAALIUl.jpg","","in","344","","304","123","101","https://x.com/undefined/status/1987355304582127683","759692754985242625",,"304334"
"0","1988154948526444782","Tue Nov 11 08:00:52 +0000 2025",,"3","Anak Buah Purbaya Turun Gunung Kawal Kilang Raksasa Balikpapan Kementerian Keuangan (Kemenkeu) bersama Komisaris Pertamina meninjau langsung kesiapan akhir Proyek Strategis Nasional RDMP Balikpapan dan Lawe-Lawe yang kini bersiap memasuki tahap awal pengoperasian (start-up). https://t.co/GbrbkDTVaj","1988154948526444782","https://pbs.twimg.com/media/G5dXjSxbQAA4loc.png","","in","3","","0","2","1","https://x.com/undefined/status/1988154948526444782","576755999",,"37"
"889","1987128616816455784","Sat Nov 08 12:02:35 +0000 2025",,"2635","Ada 3 pelajaran tentang keuangan di umur 30an. ️ jangan ambil KPR ️ gausah kredit mobil Sekali masuk lingkar setan 2 utang itu beresinnya hampir setengah umur idup. Ada yang mau nambahin?","1987128616816455784","","","in","2635","","71","91","740","https://x.com/undefined/status/1987128616816455784","1590845630037229569",,"221834"
"0","1988033934383370432","Tue Nov 11 00:00:00 +0000 2025",,"16","Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa menegaskan kebijakan redenominasi rupiah merupakan kewenangan Bank Indonesia (BI) bukan Kementerian Keuangan. Pelaksanaan redenominasi tidak akan dilakukan dalam waktu dekat setidaknya bukan tahun ini atau 2026. Redenom itu https://t.co/1NA6Bwaib0","1988033934383370432","https://pbs.twimg.com/media/G5bPZ8MbcAEyFBD.jpg","","in","16","","2","3","4","https://x.com/undefined/status/1988033934383370432","55507370",,"2180"
"1","1984562144982286683","Sat Nov 01 10:04:21 +0000 2025",,"46","Baru sebulan jadi Menteri Keuangan (Menkeu) Purbaya tampak ikonik di mana ia terus disorot usai getol memperbaiki sistem keuangan. https://t.co/ZjNVKqDTbx","1984562144982286683","https://pbs.twimg.com/media/G4qUvw-bkAAg7NT.jpg","","in","46","","0","2","2","https://x.com/undefined/status/1984562144982286683","1673276769355575296",,"2611"
"0","1988101346663227749","Tue Nov 11 04:27:52 +0000 2025",,"7","Purbaya Soal Redenominasi Rupiah: Jangan Gue yang Digebukin Menteri Keuangan Purbaya Yudhi Sadewa menegaskan rencana redenominasi rupiah belum akan dilakukan dalam waktu dekat. Ia menekankan kebijakan itu merupakan kewenangan Bank Indonesia bukan Kementerian Keuangan. https://t.co/b2ixwN9tot","1988101346663227749","https://pbs.twimg.com/ext_tw_video_thumb/1988101271375527936/pu/img/g_DozErp5qRP8TVp.jpg","","in","7","","0","0","4","https://x.com/undefined/status/1988101346663227749","47596019",,"1112"
"0","1988135648520179978","Tue Nov 11 06:44:11 +0000 2025",,"7","Bangun generasi muda yang cerdas finansial dan siap menghadapi tantangan global! UNAIR berkesempatan menghadirkan Menteri Keuangan RI Purbaya Yudhi Sadewa dalam Studium Generale Dies Natalis ke-71. Dari kebijakan nasional hingga peran UMKM semua dibahas dalam suasana https://t.co/dNe5bAdxyd","1988135648520179978","https://pbs.twimg.com/media/G5dG1JqbgAAdUaF.jpg","","in","7","","0","1","0","https://x.com/undefined/status/1988135648520179978","1110709339",,"243"
"1","1986304286532227576","Thu Nov 06 05:27:00 +0000 2025",,"16","Purbaya Minta Maaf ke Kepala Daerah KDM: Nggak Perlu Ada yang Dimaafin Bayar Saja Dana Rp 190 M Gubernur Jawa Barat Dedi Mulyadi merespons permohonan maaf dari Menteri Keuangan Purbaya Yudhi Sadewa soal pemangkasan anggaran. Merespons hal itu KDM mengaku tak perlu ada https://t.co/vHFgl8cd6x","1986304286532227576","https://pbs.twimg.com/amplify_video_thumb/1986293390229839875/img/jR5qEercEND9snqX.jpg","","in","16","","0","2","2","https://x.com/undefined/status/1986304286532227576","124171593",,"6001"
"21","1986691827177824728","Fri Nov 07 07:06:57 +0000 2025",,"157","ChatGPT udah ngga bisa kasih saran hukum kesehatan dan keuangan https://t.co/sShprY2Scs","1986691827177824728","https://pbs.twimg.com/media/G5IlV7mawAAGBkD.jpg","","in","157","","7","12","23","https://x.com/undefined/status/1986691827177824728","1329295844869214208",,"23288"
"5","1984020793945416027","Thu Oct 30 22:13:13 +0000 2025",,"161","KENAPA BUMN TERLILIT HUTANG PLN merupakan BUMN yang memiliki hutang terbesar hingga 734 Triliun Rupiah pada bulan Juni 2025 lalu. 300 Trilyun di antaranya hutang PLN dari luar negeri. Di negara kita berdasar ketentuan UU Keuangan untuk hutang BUMN tidak perlu lewat persetujuan https://t.co/Res4lDK8Z5","1984020793945416027","https://pbs.twimg.com/media/G4ioZJaa8AQdTfs.jpg","","in","161","","5","32","71","https://x.com/undefined/status/1984020793945416027","201554665",,"6822"
"29","1986009497589211262","Wed Nov 05 09:55:37 +0000 2025",,"1733","Presiden Prabowo jng asal omong masalah Whoosh dia yg tjwb hrs pikirkan dampak hukum dan dampak keuangan nya https://t.co/dYspYut6lH","1986009497589211262","https://pbs.twimg.com/media/G4-5Gs7bYAAGhG9.jpg","","in","1733","","45","352","682","https://x.com/undefined/status/1986009497589211262","131814756",,"40935"
"0","1986970972113838236","Sat Nov 08 04:45:29 +0000 2025",,"2","@flip_id Prinsip keuangan favorit aku adalah hidup di bawah kemampuan kita. Sederhananya jangan menghabiskan semua uang yang kita hasilkan. Jaga agar pengeluaran rutin lebih rendah dari pendapatan Ini adalah fondasi untuk bisa menabung dan berinvestasi. https://t.co/tlndc0qxNs","1987018615019946120","https://pbs.twimg.com/media/G5NO5lxbIAAN5uO.jpg","flip_id","in","2","","0","0","0","https://x.com/undefined/status/1987018615019946120","1892035309229178880",,"130"
"27","1987380922417836475","Sun Nov 09 04:45:10 +0000 2025",,"553","Paspor Malaysia kini berada di peringkat ketiga dunia naik tujuh posisi dari tahun sebelumnya berdasarkan Passport Index 2025 yang diterbitkan oleh firma keuangan global Arton Capital. Peringkat baru ini menempatkan Malaysia sejajar dengan 15 negara lain seperti Belgia https://t.co/u9MUlvrjR4","1987380922417836475","https://pbs.twimg.com/media/G5SYQfXbIAAECm1.jpg","","in","553","","47","59","129","https://x.com/undefined/status/1987380922417836475","23343960",,"58088"
"0","1987534220030550391","Sun Nov 09 14:54:19 +0000 2025",,"6","Masyarakat Adat Papua Mendesak Negara Kembalikan Hutan Adat Mereka: Ritual Sakral di Sorong Selatan Menjadi Bentuk Protes https://t.co/RHSOQFQmqY lewat @Keuangan News https://t.co/SEJ07K9t0a","1987534220030550391","https://pbs.twimg.com/media/G5Uj1v8awAAvRbp.jpg","","in","6","","0","1","4","https://x.com/undefined/status/1987534220030550391","1226436091617505281",,"471"
"0","1987772294593475013","Mon Nov 10 06:40:20 +0000 2025",,"6","Menkeu Purbaya Optimis Penerimaan Pajak 2025 Capai Target Meski Ekonomi Melemah https://t.co/WQMqMwyYQ7 lewat @Keuangan News https://t.co/CJGp5JWqqr","1987772294593475013","https://pbs.twimg.com/media/G5X8Xf3aMAAXgyh.jpg","","in","6","","0","1","3","https://x.com/undefined/status/1987772294593475013","1226436091617505281",,"453"
