"bookmark_count","conversation_id_str","created_at","display_name","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","like_count","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username","views_count"
"1","1988058653929422923","Tue Nov 11 01:38:14 +0000 2025",,"14","#SobatRupiah pasti sudah tahu kan kalau Real Estate Perumahan Rakyat Konstruksi merupakan salah satu sektor prioritas dari Kebijakan Insentif Likuiditas Makroprudensial Bank Indonesia? Selain berkontribusi tinggi terhadap pertumbuhan ekonomi sektor ini juga bisa memperluas https://t.co/VLy1zXRjDD","1988058653929422923","https://pbs.twimg.com/amplify_video_thumb/1988058344129695744/img/xTwBayv2aPkRrZT8.jpg","","in","14","","1","4","2","https://x.com/undefined/status/1988058653929422923","153667051",,"573"
"0","1988148570567176605","Tue Nov 11 07:35:31 +0000 2025",,"2","Seruan tutup TPL menggema di depan Kantor Gubernur Sumatera Utara Senin (10/11). Massa mendesak pemerintah Sumut mengambil kebijakan menutup perusahaan bernama lengkap Toba Pulp Lestari itu. Reporter: Prayugo Utomo Video Editor: Alya #IDNTimesSumut https://t.co/SlHxMnGDcT https://t.co/h5Z0XazrEo","1988148570567176605","https://pbs.twimg.com/amplify_video_thumb/1988148481392078853/img/D8rZJMA5ZcGdld_R.jpg","","in","2","","0","0","2","https://x.com/undefined/status/1988148570567176605","1216815734233264128",,"85"
"7","1984257192053338139","Fri Oct 31 13:52:34 +0000 2025",,"313","Sri Mulyani jangan sampai lolos dia harus mempertanggung jawabkan kebijakan yang sudah menyusahkan Rakyat. Sri Mulyani sendiri bilang bagi yang tidak mau membayar pajak berarti anda tidak mau tinggal di Indonesia Sekarang dia mau kabur ke Amerika https://t.co/uHfv2hHMKh","1984257192053338139","https://pbs.twimg.com/ext_tw_video_thumb/1984179160781303808/pu/img/b7UQ5Cl7CRuifOGY.jpg","","in","313","","6","25","166","https://x.com/undefined/status/1984257192053338139","1091031753924403200",,"4733"
"0","1988135648520179978","Tue Nov 11 06:44:11 +0000 2025",,"7","Bangun generasi muda yang cerdas finansial dan siap menghadapi tantangan global! UNAIR berkesempatan menghadirkan Menteri Keuangan RI Purbaya Yudhi Sadewa dalam Studium Generale Dies Natalis ke-71. Dari kebijakan nasional hingga peran UMKM semua dibahas dalam suasana https://t.co/dNe5bAdxyd","1988135648520179978","https://pbs.twimg.com/media/G5dG1JqbgAAdUaF.jpg","","in","7","","0","1","0","https://x.com/undefined/status/1988135648520179978","1110709339",,"229"
"0","1987701574307844502","Mon Nov 10 01:59:19 +0000 2025",,"23","Mas Bupati Klaten Hamenang mengapresiasi masukan dari fraksi DPRD sebagai langkah untuk menyempurnakan kebijakan yang lebih adaptif dan berpihak kepada masyarakat. https://t.co/e0MhtxMDzT","1987701574307844502","https://pbs.twimg.com/media/G5W8DEYacAAqPkJ.jpg","","in","23","","0","6","15","https://x.com/undefined/status/1987701574307844502","1279643013455605760",,"316"
"9","1984061564824256956","Fri Oct 31 00:55:13 +0000 2025",,"115","Pakmen @bahlillahadalia ini kalau era pak @SBYudhoyono sudah jadi menteri saya yakin akan jadi menteri kesayangan juga. Karena keberaniannya tegas dan sungguh2nya dalam mengawal kebijakan yang baik untuk negara yang jadi garis kebijakan Presiden. Walau dicerca caci maki dan https://t.co/uF5oir1wRh","1984061564824256956","https://pbs.twimg.com/amplify_video_thumb/1984057738448793608/img/dYN--LtTl86opVGR.jpg","","in","115","","3","12","48","https://x.com/undefined/status/1984061564824256956","24893875",,"3846"
"70","1987380843812429898","Sun Nov 09 04:44:51 +0000 2025",,"778","BICARA INTEGRITAS TAPI DIAM-DIAM CARI CUAN DARI SISTEM YANG DIKRITIK Banyak yang menyoroti kemunafikan Salsa Erwina lantang mengkritik kebijakan +62 dari luar tapi perusahaan tempatnya bekerja Vestas justru berkolaborasi erat dengan Kementerian ESDM Indonesia https://t.co/WheKis99tf","1987380843812429898","https://pbs.twimg.com/media/G5SYWEKbIAA9cIk.jpg","","in","778","","22","1051","1011","https://x.com/undefined/status/1987380843812429898","1251824880967774208",,"86667"
"4","1987581344365654437","Sun Nov 09 18:01:34 +0000 2025",,"76","Kebijakan politik pemerintah Orde Baru tidak mendukung kelompok sosial yang bernama Nahdlatul Ulama sehingga warga NU sulit mengakses pendidikan kata Gus Ulil. https://t.co/KE5mCziX3c https://t.co/ok7W9AQRDi","1987581344365654437","https://pbs.twimg.com/media/G5VOs0QakAEkJYA.jpg","","in","76","","3","25","19","https://x.com/undefined/status/1987581344365654437","214818815",,"7457"
"14","1986282434632069331","Thu Nov 06 04:00:10 +0000 2025",,"72"," halo temen2 yg baik hati bantu aku isi kuisoner yuklian prnah kan psti ngerasa cape wktu scroll twt apalagi klo ada berita negatif kaya kebijakan pemerintah dll. nah bntu aku isi dong guys targetnya kurang bnyak nih. bole reply ya/klo ada yg mau barter juga boleh&lt;3 https://t.co/WZrtSnFEuZ","1986282434632069331","https://pbs.twimg.com/media/G5CxWR1XkAAqdGb.jpg","","in","72","","0","55","8","https://x.com/undefined/status/1986282434632069331","1371650588",,"10178"
"0","1987412398689689955","Sun Nov 09 06:50:14 +0000 2025",,"130","berbagai kebijakan pembangunan di masa soeharto berfokus pada stabilitas ekonomi dan peningkatan kesejahteraan masyarakat. #SoehartoBapakPembangunan Gelar Pahlawan Untuk Soeharto https://t.co/Y25HyYS1CI","1987412398689689955","https://pbs.twimg.com/media/G5S1Cr6bYAAgWeb.jpg","","in","130","","1","130","122","https://x.com/undefined/status/1987412398689689955","1088433792560197632",,"4853"
