"bookmark_count","conversation_id_str","created_at","display_name","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","like_count","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username","views_count"
"4","1987855353535750321","Mon Nov 10 12:10:23 +0000 2025",,"23","Kasus hilangnya balita bernama Bilqis Ramadhani (4) bikin geger warga Makassar dan media sosial. Ia hilang saat bermain di Taman Pakui dan rekaman CCTV memperlihatkan Bilqis dibawa oleh seorang perempuan bersama dua anak lain. Hasil penyelidikan polisi mengungkap Bilqis sempat https://t.co/Z7qFJkoG6x","1987855353535750321","https://pbs.twimg.com/amplify_video_thumb/1987855298913304576/img/bqO-CTzbHadofQma.jpg","","in","23","","1","1","9","https://x.com/undefined/status/1987855353535750321","1158355819512991747",,"3511"
"0","1984829657649463802","Sun Nov 02 03:47:21 +0000 2025",,"22","Sekolah Rakyat jadi langkah nyata pemerintah untuk mengentaskan kemiskinan secara terukur terstruktur dan berkelanjutan. Sepanjang 2025 sudah ada 166 Sekolah Rakyat yang beroperasi di berbagai daerah. https://t.co/biIXjlWJbY","1984829657649463802","https://pbs.twimg.com/amplify_video_thumb/1984829528653643783/img/BUYJnK5uO_2lKRqL.jpg","","in","22","","0","12","3","https://x.com/undefined/status/1984829657649463802","2889531644",,"690"
"0","1987724006141952118","Mon Nov 10 03:28:27 +0000 2025",,"24","Kemerdekaan tak jatuh dari langit. Ia lahir dari keberanian kesabaran dan keikhlasan para pahlawan bangsa. Dari Surabaya hingga Biak dari Ambarawa hingga Banda Aceh para pahlawan berjuang agar kita merdeka. #HariPahlawan2025 🇮🇩 https://t.co/lXflxghV2f","1987724006141952118","https://pbs.twimg.com/media/G5XQSaobUAACj5j.jpg","","in","24","","1","7","5","https://x.com/undefined/status/1987724006141952118","2889531644",,"692"
"10","1984190226194215181","Fri Oct 31 09:26:29 +0000 2025",,"379","Maka Hitler bisa menjadi pahlawan Jerman krn ia sukses memantik api nasionalisme menegakkan disiplin nasional memulihkan stabilitas sosial politik keamanan dan ekonomi. Bahkan ia berhasil membuat jalan raya Autobahn lalu Auschwitz hilang dari ingatan. --------- Maksud https://t.co/5OodxMxEMp","1984190226194215181","https://pbs.twimg.com/media/G4lCfqPagAA2xUI.jpg","","in","379","","6","42","144","https://x.com/undefined/status/1984190226194215181","1159689173340585984",,"8002"
"35","1985172234986738083","Mon Nov 03 02:28:38 +0000 2025",,"678","Peringatan Darurat Soeharto Mau Jadi Pahlwan! Pada Selasa 21 Oktober 2025 Menteri Sosial Saifullah Yusuf menyerahkan berkas 40 nama calon penerima gelar pahlawan nasional kepada Menteri Kebudayaan sekaligus Ketua Dewan GTK Fadli Zon di Jakarta Pusat. https://t.co/Mz9KsFXllh","1985172234986738083","https://pbs.twimg.com/media/G4y_nvabQAAL9pF.jpg","","in","678","","15","22","434","https://x.com/undefined/status/1985172234986738083","203158484",,"23628"
"1","1985017734162423955","Sun Nov 02 16:14:42 +0000 2025",,"18","Menteri Sosial Saifullah Yusuf (Gus Ipul) menegaskan komitmen transparansi dalam pengadaan laptop Sekolah Rakyat. Dengan pendampingan oleh LKPP dan pengawasan dari Kejaksaan Agung serta Polri Kemensos memastikan seluruh proses berjalan akuntabel. https://t.co/h9twzzk9hC","1985017734162423955","https://pbs.twimg.com/amplify_video_thumb/1985017522253619201/img/9l5kjlz1kjBUVCt0.jpg","","in","18","","0","3","3","https://x.com/undefined/status/1985017734162423955","2889531644",,"942"
"3","1987826347939389764","Mon Nov 10 10:15:08 +0000 2025",,"29","Lagu Tabola Bale yang dibawakan Silet Open Up kembali mendunia lewat media sosial. Seorang konten kreator sekaligus instruktur Stepper-Ton Julius Burphy membagikan video latihan di kelasnya menggunakan lagu viral tersebut. This song had us moving 🇮🇩 Song: Tabola Bale https://t.co/lTg8XAx9sb","1987826347939389764","https://pbs.twimg.com/ext_tw_video_thumb/1987825102163959808/pu/img/eq-f3Zf4zWJvSUhu.jpg","","in","29","","0","3","8","https://x.com/undefined/status/1987826347939389764","46693036",,"2094"
"221","1987822544183795837","Mon Nov 10 10:00:01 +0000 2025",,"2572","Menteri Sosial: Keluarga Pahlawan Nasional Terima Tunjangan Rp 57 Juta per Tahun. https://t.co/ihTQia9DYN","1987822544183795837","https://pbs.twimg.com/media/G5YjW_obMAAYVlb.jpg","","in","2572","","1562","434","619","https://x.com/undefined/status/1987822544183795837","18129942",,"720433"
"1","1987887367076905324","Mon Nov 10 14:17:36 +0000 2025",,"13","Di tengah tuntutan dunia digital masih ada mereka yang berjuang dengan cara sederhana. Sisilia mahasiswa Universitas Terbuka menulis tangan seluruh tugas kuliahnya karena tak punya laptop. Video ini viral di media sosial karena tekad dan keinginan belajar yang tinggi dari https://t.co/aY2SaZifU2","1987887367076905324","https://pbs.twimg.com/media/G5ZkgAZbMAAc7Ca.jpg","","in","13","","1","2","2","https://x.com/undefined/status/1987887367076905324","55507370",,"2141"
"9","1985549667099349351","Tue Nov 04 03:28:25 +0000 2025",,"9","𝗕𝗲𝗹𝗶 𝗕𝗮𝗿𝗮𝗻𝗴 𝗦𝗲𝗸𝗮𝗿𝗮𝗻𝗴 𝗛𝗮𝗿𝘂𝘀 𝗣𝘂𝗻𝘆𝗮 𝗠𝗮𝗸𝗻𝗮? Generasi sekarang nggak cuma lihat harga atau tren tapi juga nilai di balik produk yang mereka pilih mulai dari ramah lingkungan sosial sampai transparansi brand. #SustainableLiving #EcoTrends2025 https://t.co/5YDibSsIDE","1985549667099349351","https://pbs.twimg.com/media/G44W2I6akAEUI-f.jpg","","in","9","","0","9","9","https://x.com/undefined/status/1985549667099349351","61911501",,"93"
